"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "pip requirements", "HTML", "Python", "Database", "comment", "blank", "total"
"f:\Aero\AEROPS\Frontend\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"f:\Aero\AEROPS\Frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"f:\Aero\AEROPS\Frontend\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 11, 91
"f:\Aero\AEROPS\Frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"f:\Aero\AEROPS\Frontend\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"f:\Aero\AEROPS\Frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 9, 44
"f:\Aero\AEROPS\Frontend\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 30, 225
"f:\Aero\AEROPS\Frontend\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 2, 32, 304
"f:\Aero\AEROPS\Frontend\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"f:\Aero\AEROPS\Frontend\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"f:\Aero\AEROPS\Frontend\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 18, 133
"f:\Aero\AEROPS\Frontend\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 18, 179
"f:\Aero\AEROPS\Frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 13, 96
"f:\Aero\AEROPS\Frontend\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 13, 88
"f:\Aero\AEROPS\Frontend\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 18, 180
"f:\Aero\AEROPS\Frontend\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 25, 130
