Date : 2026-03-28 21:52:26
Directory : f:\Aero\AEROPS
Total : 148 files,  21353 codes, 38 comments, 2244 blanks, all 23635 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\Aero\AEROPS\Frontend\src\components\HumanBodyModel.tsx     | TypeScript JSX     |         79 |          1 |         16 |         96 |
| f:\Aero\AEROPS\Frontend\src\components\IAFRankInsignia.tsx    | TypeScript JSX     |         52 |          0 |          7 |         59 |
| f:\Aero\AEROPS\Frontend\src\components\NavLink.tsx            | TypeScript JSX     |         24 |          0 |          5 |         29 |
| f:\Aero\AEROPS\Frontend\src\components\PageHeader.tsx         | TypeScript JSX     |         26 |          0 |          4 |         30 |
| f:\Aero\AEROPS\Frontend\src\components\StatusBadge.tsx        | TypeScript JSX     |         50 |          0 |          8 |         58 |
| f:\Aero\AEROPS\Frontend\src\components\ui\accordion.tsx       | TypeScript JSX     |         45 |          0 |          8 |         53 |
| f:\Aero\AEROPS\Frontend\src\components\ui\alert-dialog.tsx    | TypeScript JSX     |         91 |          0 |         14 |        105 |
| f:\Aero\AEROPS\Frontend\src\components\ui\alert.tsx           | TypeScript JSX     |         37 |          0 |          7 |         44 |
| f:\Aero\AEROPS\Frontend\src\components\ui\aspect-ratio.tsx    | TypeScript JSX     |          3 |          0 |          3 |          6 |
| f:\Aero\AEROPS\Frontend\src\components\ui\avatar.tsx          | TypeScript JSX     |         33 |          0 |          6 |         39 |
| f:\Aero\AEROPS\Frontend\src\components\ui\badge.tsx           | TypeScript JSX     |         24 |          0 |          6 |         30 |
| f:\Aero\AEROPS\Frontend\src\components\ui\breadcrumb.tsx      | TypeScript JSX     |         80 |          0 |         11 |         91 |
| f:\Aero\AEROPS\Frontend\src\components\ui\button.tsx          | TypeScript JSX     |         42 |          0 |          6 |         48 |
| f:\Aero\AEROPS\Frontend\src\components\ui\calendar.tsx        | TypeScript JSX     |         50 |          0 |          5 |         55 |
| f:\Aero\AEROPS\Frontend\src\components\ui\card.tsx            | TypeScript JSX     |         35 |          0 |          9 |         44 |
| f:\Aero\AEROPS\Frontend\src\components\ui\carousel.tsx        | TypeScript JSX     |        195 |          0 |         30 |        225 |
| f:\Aero\AEROPS\Frontend\src\components\ui\chart.tsx           | TypeScript JSX     |        270 |          2 |         32 |        304 |
| f:\Aero\AEROPS\Frontend\src\components\ui\checkbox.tsx        | TypeScript JSX     |         23 |          0 |          4 |         27 |
| f:\Aero\AEROPS\Frontend\src\components\ui\collapsible.tsx     | TypeScript JSX     |          5 |          0 |          5 |         10 |
| f:\Aero\AEROPS\Frontend\src\components\ui\command.tsx         | TypeScript JSX     |        115 |          0 |         18 |        133 |
| f:\Aero\AEROPS\Frontend\src\components\ui\context-menu.tsx    | TypeScript JSX     |        161 |          0 |         18 |        179 |
| f:\Aero\AEROPS\Frontend\src\components\ui\dialog.tsx          | TypeScript JSX     |         83 |          0 |         13 |         96 |
| f:\Aero\AEROPS\Frontend\src\components\ui\drawer.tsx          | TypeScript JSX     |         75 |          0 |         13 |         88 |
| f:\Aero\AEROPS\Frontend\src\components\ui\dropdown-menu.tsx   | TypeScript JSX     |        162 |          0 |         18 |        180 |
| f:\Aero\AEROPS\Frontend\src\components\ui\form.tsx            | TypeScript JSX     |        105 |          0 |         25 |        130 |
| f:\Aero\AEROPS\Frontend\src\components\ui\hover-card.tsx      | TypeScript JSX     |         22 |          0 |          6 |         28 |
| f:\Aero\AEROPS\Frontend\src\components\ui\input-otp.tsx       | TypeScript JSX     |         54 |          0 |          8 |         62 |
